feature_1,feature_2,correlation,absolute_correlation
amount,amount_copy,0.896288434001209,0.896288434001209
amount,transaction_amount_log,0.9474671211979879,0.9474671211979879
amount_copy,transaction_amount_log,0.8659118971034958,0.8659118971034958
